Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Story,OOSP-123,10186,Validate Cron Jobs and Events,Mariam Hussien,5e310cd59029c30ca0bc6d4f,Mariam Hussien,5e310cd59029c30ca0bc6d4f,Medium,To Do,,07/Nov/25 11:50 PM,07/Nov/25 11:51 PM,
Story,OOSP-122,10185,Manage Locations,Mariam Hussien,5e310cd59029c30ca0bc6d4f,Mariam Hussien,5e310cd59029c30ca0bc6d4f,Medium,To Do,,07/Nov/25 11:50 PM,07/Nov/25 11:51 PM,
Story,OOSP-121,10184,Configure Store Settings,Mariam Hussien,5e310cd59029c30ca0bc6d4f,Mariam Hussien,5e310cd59029c30ca0bc6d4f,Medium,To Do,,07/Nov/25 11:49 PM,07/Nov/25 11:51 PM,
Story,OOSP-120,10183,Manage Modifications,Mariam Hussien,5e310cd59029c30ca0bc6d4f,Mariam Hussien,5e310cd59029c30ca0bc6d4f,Medium,To Do,,07/Nov/25 11:49 PM,07/Nov/25 11:51 PM,
Story,OOSP-107,10170,Shipping/Payment Address Integrity,Eslam Hassan,712020:f2754591-7b3a-4940-a6cf-a5bfe462be07,Eslam Hassan,712020:f2754591-7b3a-4940-a6cf-a5bfe462be07,Medium,To Do,,07/Nov/25 6:28 PM,08/Nov/25 8:58 AM,
Story,OOSP-106,10169,Product Data Accuracy,Eslam Hassan,712020:f2754591-7b3a-4940-a6cf-a5bfe462be07,Eslam Hassan,712020:f2754591-7b3a-4940-a6cf-a5bfe462be07,Medium,To Do,,07/Nov/25 6:28 PM,08/Nov/25 8:58 AM,
Story,OOSP-105,10168,Order ID Filter Functionality,Eslam Hassan,712020:f2754591-7b3a-4940-a6cf-a5bfe462be07,Eslam Hassan,712020:f2754591-7b3a-4940-a6cf-a5bfe462be07,Medium,To Do,,07/Nov/25 6:26 PM,08/Nov/25 8:58 AM,
Story,OOSP-104,10167,Successful Order Process,Eslam Hassan,712020:f2754591-7b3a-4940-a6cf-a5bfe462be07,Eslam Hassan,712020:f2754591-7b3a-4940-a6cf-a5bfe462be07,Medium,To Do,,07/Nov/25 6:24 PM,08/Nov/25 8:58 AM,
Story,OOSP-98,10161," 2.My Account (Profile, Order History, Logout)""As a registered customer, I want to access and manage my account information, view my order history, and log out securely, so I can keep my profile updated and track my purchases.""",,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,07/Nov/25 1:54 PM,14/Nov/25 7:38 PM,
Story,OOSP-97,10160,"1.Login / Register / Forgot Password ""As a customer, I want to log in, register, or recover my password so that I can securely access my account and complete purchases on the website.""",,,Nourhan Sayed Mohamed Abdel Razek,617c5752b9c549006f17c1b4,Medium,To Do,,07/Nov/25 1:53 PM,14/Nov/25 7:34 PM,
Story,OOSP-34,10065,"As an Admin, I want to create and manage information pages so that customers can access important details (e.g., About Us, Privacy Policy).",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:29 AM,09/Nov/25 12:27 PM,
Story,OOSP-33,10064,"As an Admin, I want to moderate customer reviews so that I can maintain quality and trustworthiness in product feedback.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:28 AM,09/Nov/25 12:27 PM,
Story,OOSP-32,10063,"As an Admin, I want to manage unique identifiers for products (like SKU, UPC, EAN) so that I can track items accurately in the inventory system.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Low,Pass,Done,06/Nov/25 4:28 AM,09/Nov/25 12:27 PM,
Story,OOSP-31,10062,"As an Admin, I want to upload and manage downloadable files so that customers can access digital products after purchase.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Low,Pass,Done,06/Nov/25 4:28 AM,09/Nov/25 12:27 PM,
Story,OOSP-30,10061,"As an Admin, I want to define product options (e.g., size, color) so that customers can choose variants during purchase.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:27 AM,09/Nov/25 12:27 PM,
Story,OOSP-29,10060,"As an Admin, I want to manage product attributes and attribute groups so that I can describe product specifications systematically.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,High,Pass,Done,06/Nov/25 4:27 AM,09/Nov/25 12:27 PM,
Story,OOSP-28,10059,"As an Admin, I want to define and manage filters so that customers can narrow down product searches effectively on the storefront.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 4:24 AM,09/Nov/25 12:27 PM,
Story,OOSP-27,10058,"As an Admin, I want to create and manage subscription plans so that I can offer customers recurring purchases or memberships.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 4:23 AM,09/Nov/25 12:27 PM,
Story,OOSP-26,10057,"As an Admin, I want to add, edit, and manage products so that I can maintain an accurate and complete catalog for my customers.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 4:23 AM,09/Nov/25 12:27 PM,
Story,OOSP-25,10056,"As an Admin, I want to create, edit, and manage product categories so that I can organize products effectively within the catalog.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Medium,Pass,Done,06/Nov/25 4:22 AM,09/Nov/25 12:27 PM,
Story,OOSP-24,10055,"As an Admin, I want to view an overview of store performance (orders, sales, customers, and online users) so that I can monitor key business metrics in real time.",Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Mahmoud Khaled,712020:94e5d422-4468-4e48-a513-4cbacf28937d,Highest,Pass,Done,06/Nov/25 4:17 AM,06/Nov/25 6:27 AM,
